Epoch,Test Accuracy,Train Accuracy
1,18.39,20.03
2,17.39,17.30
3,48.86,67.30
4,31.28,35.15
5,32.63,37.47
6,15.80,18.80
7,42.05,65.40
8,34.37,40.87
9,59.57,81.88
10,56.85,81.06
11,69.37,94.96
12,71.65,88.01
13,70.34,97.82
14,67.94,97.41
15,71.81,99.32
16,73.34,99.59
17,71.71,99.32
18,79.02,100.00
19,70.90,99.32
20,83.14,100.00
21,80.30,100.00
22,78.93,100.00
23,82.05,100.00
24,83.52,100.00
25,83.20,100.00
26,84.08,100.00
27,82.30,100.00
28,83.05,100.00
29,84.39,100.00
30,85.01,100.00
31,84.95,100.00
32,84.26,100.00
33,84.45,100.00
34,84.30,100.00
35,84.58,100.00
36,83.95,100.00
37,82.86,100.00
38,83.42,100.00
39,84.70,100.00
40,84.61,100.00
41,84.05,100.00
42,84.73,100.00
43,84.83,100.00
44,84.61,100.00
45,84.45,100.00
46,84.14,100.00
47,84.11,100.00
48,84.51,100.00
49,84.61,100.00
50,84.61,100.00
