Number of CNN Labels,Number of Labels,Accuracy
183,183,32.81
183,367,45.24
183,550,54.95
183,734,61.75
183,917,66.22
183,1101,69.75
183,1284,72.87
183,1468,75.21
183,1651,77.02
183,1835,78.40
183,2019,78.52
183,2202,79.61
183,2386,81.33
183,2569,82.52
183,2753,82.92
183,2936,83.27
183,3120,83.64
183,3303,83.95
183,3487,84.61
183,3671,84.92
367,367,53.17
367,550,62.25
367,734,68.84
367,917,73.52
367,1101,77.80
367,1284,82.08
367,1468,83.39
367,1651,85.33
367,1835,86.89
367,2019,87.17
367,2202,87.92
367,2386,88.67
367,2569,89.20
367,2753,89.54
367,2936,89.82
367,3120,90.29
367,3303,90.63
367,3487,90.82
367,3671,90.85
550,550,58.01
550,734,64.66
550,917,68.28
550,1101,72.65
550,1284,75.09
550,1468,77.21
550,1651,79.21
550,1835,80.77
550,2019,81.52
550,2202,83.05
550,2386,84.01
550,2569,84.51
550,2753,84.26
550,2936,84.95
550,3120,85.39
550,3303,85.54
550,3487,86.33
550,3671,86.39
734,734,68.06
734,917,71.78
734,1101,75.55
734,1284,79.46
734,1468,81.77
734,1651,83.45
734,1835,84.73
734,2019,85.48
734,2202,86.61
734,2386,87.98
734,2569,88.89
734,2753,89.07
734,2936,89.23
734,3120,89.54
734,3303,89.45
734,3487,89.70
734,3671,90.13
917,917,79.36
917,1101,83.95
917,1284,86.29
917,1468,87.29
917,1651,89.14
917,1835,90.54
917,2019,91.32
917,2202,92.07
917,2386,92.57
917,2569,93.07
917,2753,93.16
917,2936,93.13
917,3120,93.54
917,3303,93.32
917,3487,93.54
917,3671,93.63
1101,1101,86.26
1101,1284,88.54
1101,1468,89.14
1101,1651,90.35
1101,1835,91.63
1101,2019,92.54
1101,2202,92.98
1101,2386,93.88
1101,2569,94.38
1101,2753,94.57
1101,2936,94.51
1101,3120,94.63
1101,3303,94.57
1101,3487,94.91
1101,3671,95.00
1284,1284,87.36
1284,1468,88.89
1284,1651,90.29
1284,1835,91.04
1284,2019,91.66
1284,2202,92.54
1284,2386,93.44
1284,2569,93.76
1284,2753,93.85
1284,2936,93.97
1284,3120,94.16
1284,3303,94.22
1284,3487,94.72
1284,3671,94.69
1468,1468,91.76
1468,1651,93.13
1468,1835,94.13
1468,2019,94.51
1468,2202,95.04
1468,2386,95.69
1468,2569,95.88
1468,2753,95.88
1468,2936,96.00
1468,3120,96.19
1468,3303,96.10
1468,3487,96.19
1468,3671,96.41
1651,1651,90.04
1651,1835,91.41
1651,2019,91.70
1651,2202,92.26
1651,2386,93.10
1651,2569,93.51
1651,2753,93.63
1651,2936,93.54
1651,3120,93.91
1651,3303,93.94
1651,3487,94.32
1651,3671,94.41
1835,1835,93.88
1835,2019,94.13
1835,2202,94.63
1835,2386,95.35
1835,2569,95.88
1835,2753,96.03
1835,2936,96.07
1835,3120,96.41
1835,3303,96.47
1835,3487,96.60
1835,3671,96.66
2019,2019,94.63
2019,2202,95.07
2019,2386,95.60
2019,2569,95.97
2019,2753,96.16
2019,2936,96.25
2019,3120,96.47
2019,3303,96.44
2019,3487,96.47
2019,3671,96.53
2202,2202,94.85
2202,2386,95.47
2202,2569,95.85
2202,2753,95.88
2202,2936,95.97
2202,3120,96.32
2202,3303,96.47
2202,3487,96.50
2202,3671,96.66
2386,2386,96.47
2386,2569,96.57
2386,2753,96.35
2386,2936,96.28
2386,3120,96.41
2386,3303,96.63
2386,3487,96.75
2386,3671,96.97
2569,2569,96.53
2569,2753,96.75
2569,2936,96.78
2569,3120,96.82
2569,3303,96.85
2569,3487,97.10
2569,3671,97.10
2753,2753,96.28
2753,2936,96.22
2753,3120,96.38
2753,3303,96.38
2753,3487,96.38
2753,3671,96.50
2936,2936,96.10
2936,3120,96.44
2936,3303,96.28
2936,3487,96.50
2936,3671,96.53
3120,3120,97.03
3120,3303,96.97
3120,3487,97.16
3120,3671,97.10
3303,3303,97.00
3303,3487,97.25
3303,3671,97.41
3487,3487,96.88
3487,3671,96.97
3671,3671,97.41
