Number of CNN Labels,Number of Labels,Accuracy
183,183,36.97
183,367,47.80
183,550,51.70
183,734,56.45
183,917,58.66
183,1101,61.91
183,1284,60.97
183,1468,62.32
183,1651,63.91
183,1835,64.63
183,2019,65.28
183,2202,63.57
183,2386,64.85
183,2569,65.63
183,2753,66.91
183,2936,67.28
183,3120,68.72
183,3303,68.34
183,3487,68.75
183,3671,69.50
367,367,48.83
367,550,52.79
367,734,56.67
367,917,58.26
367,1101,61.50
367,1284,61.79
367,1468,63.16
367,1651,64.06
367,1835,64.81
367,2019,64.63
367,2202,65.03
367,2386,66.00
367,2569,65.72
367,2753,67.06
367,2936,66.97
367,3120,68.34
367,3303,69.03
367,3487,68.69
367,3671,68.75
550,550,51.86
550,734,54.32
550,917,57.32
550,1101,58.60
550,1284,61.32
550,1468,61.41
550,1651,62.75
550,1835,63.10
550,2019,64.31
550,2202,63.94
550,2386,63.50
550,2569,64.60
550,2753,65.81
550,2936,65.50
550,3120,66.22
550,3303,66.38
550,3487,67.75
550,3671,68.06
734,734,55.17
734,917,58.20
734,1101,60.32
734,1284,61.10
734,1468,61.72
734,1651,63.38
734,1835,64.88
734,2019,64.19
734,2202,63.91
734,2386,64.47
734,2569,65.59
734,2753,66.47
734,2936,65.38
734,3120,66.44
734,3303,65.00
734,3487,67.03
734,3671,67.97
917,917,63.78
917,1101,63.97
917,1284,66.22
917,1468,66.69
917,1651,67.34
917,1835,67.91
917,2019,68.06
917,2202,67.66
917,2386,69.68
917,2569,69.90
917,2753,70.50
917,2936,71.40
917,3120,72.00
917,3303,71.18
917,3487,71.71
917,3671,72.90
1101,1101,64.16
1101,1284,64.60
1101,1468,65.44
1101,1651,66.28
1101,1835,67.19
1101,2019,66.75
1101,2202,67.72
1101,2386,68.09
1101,2569,69.81
1101,2753,69.59
1101,2936,69.19
1101,3120,68.84
1101,3303,69.59
1101,3487,69.40
1101,3671,70.09
1284,1284,66.03
1284,1468,66.00
1284,1651,67.66
1284,1835,68.44
1284,2019,68.56
1284,2202,69.25
1284,2386,70.87
1284,2569,70.22
1284,2753,70.93
1284,2936,71.43
1284,3120,70.84
1284,3303,72.03
1284,3487,71.56
1284,3671,73.28
1468,1468,66.59
1468,1651,67.12
1468,1835,69.00
1468,2019,68.56
1468,2202,68.50
1468,2386,69.22
1468,2569,69.87
1468,2753,70.93
1468,2936,70.87
1468,3120,70.78
1468,3303,71.12
1468,3487,71.87
1468,3671,72.62
1651,1651,67.06
1651,1835,66.72
1651,2019,68.75
1651,2202,67.97
1651,2386,67.78
1651,2569,69.87
1651,2753,69.84
1651,2936,70.09
1651,3120,70.15
1651,3303,70.87
1651,3487,71.46
1651,3671,72.18
1835,1835,70.34
1835,2019,69.84
1835,2202,70.12
1835,2386,69.34
1835,2569,73.12
1835,2753,72.43
1835,2936,72.53
1835,3120,72.59
1835,3303,74.27
1835,3487,73.90
1835,3671,75.12
2019,2019,68.31
2019,2202,68.90
2019,2386,70.03
2019,2569,70.65
2019,2753,70.71
2019,2936,70.75
2019,3120,71.43
2019,3303,71.15
2019,3487,72.49
2019,3671,72.24
2202,2202,70.50
2202,2386,70.90
2202,2569,71.65
2202,2753,73.03
2202,2936,72.31
2202,3120,72.68
2202,3303,72.99
2202,3487,73.90
2202,3671,73.43
2386,2386,72.53
2386,2569,71.71
2386,2753,71.87
2386,2936,72.31
2386,3120,72.78
2386,3303,73.84
2386,3487,73.09
2386,3671,73.65
2569,2569,74.96
2569,2753,74.52
2569,2936,73.68
2569,3120,74.84
2569,3303,75.99
2569,3487,74.56
2569,3671,75.59
2753,2753,72.96
2753,2936,72.06
2753,3120,72.62
2753,3303,73.03
2753,3487,73.24
2753,3671,74.37
2936,2936,71.84
2936,3120,72.12
2936,3303,72.00
2936,3487,71.93
2936,3671,72.74
3120,3120,74.96
3120,3303,75.84
3120,3487,76.52
3120,3671,76.05
3303,3303,73.24
3303,3487,72.59
3303,3671,73.87
3487,3487,73.68
3487,3671,73.65
3671,3671,73.71
