Number of CNN Labels,Number of Labels,Accuracy
183,183,54.45
183,367,64.44
183,550,68.37
183,734,73.24
183,917,75.68
183,1101,78.36
183,1284,80.99
183,1468,82.08
183,1651,82.73
183,1835,83.67
183,2019,84.01
183,2202,84.17
183,2386,84.48
183,2569,85.26
183,2753,85.67
183,2936,85.61
183,3120,86.04
183,3303,86.01
183,3487,86.11
183,3671,86.23
367,367,65.38
367,550,70.12
367,734,74.06
367,917,77.83
367,1101,80.42
367,1284,83.27
367,1468,83.73
367,1651,84.73
367,1835,85.05
367,2019,85.61
367,2202,85.61
367,2386,86.39
367,2569,86.61
367,2753,86.61
367,2936,86.92
367,3120,87.36
367,3303,87.61
367,3487,87.86
367,3671,88.48
550,550,71.12
550,734,76.27
550,917,78.46
550,1101,81.27
550,1284,83.33
550,1468,84.64
550,1651,85.26
550,1835,85.36
550,2019,85.92
550,2202,86.58
550,2386,86.79
550,2569,87.20
550,2753,87.23
550,2936,87.67
550,3120,87.95
550,3303,88.17
550,3487,88.10
550,3671,88.39
734,734,82.11
734,917,83.64
734,1101,85.33
734,1284,87.45
734,1468,89.07
734,1651,89.17
734,1835,89.38
734,2019,89.92
734,2202,89.60
734,2386,89.51
734,2569,90.20
734,2753,90.20
734,2936,90.32
734,3120,90.70
734,3303,91.23
734,3487,91.51
734,3671,91.70
917,917,81.70
917,1101,84.20
917,1284,86.11
917,1468,87.32
917,1651,88.35
917,1835,88.79
917,2019,89.17
917,2202,89.26
917,2386,89.29
917,2569,89.60
917,2753,89.76
917,2936,89.73
917,3120,89.88
917,3303,90.20
917,3487,90.35
917,3671,90.82
1101,1101,85.08
1101,1284,87.01
1101,1468,87.95
1101,1651,88.60
1101,1835,89.01
1101,2019,89.63
1101,2202,89.85
1101,2386,89.45
1101,2569,90.10
1101,2753,89.92
1101,2936,89.92
1101,3120,89.88
1101,3303,90.67
1101,3487,90.98
1101,3671,91.01
1284,1284,88.01
1284,1468,89.10
1284,1651,89.23
1284,1835,89.88
1284,2019,89.95
1284,2202,90.29
1284,2386,90.42
1284,2569,90.73
1284,2753,90.73
1284,2936,91.04
1284,3120,91.13
1284,3303,91.82
1284,3487,91.76
1284,3671,91.70
1468,1468,90.42
1468,1651,91.26
1468,1835,91.16
1468,2019,91.79
1468,2202,91.63
1468,2386,91.70
1468,2569,92.13
1468,2753,92.23
1468,2936,92.44
1468,3120,92.51
1468,3303,92.54
1468,3487,92.51
1468,3671,92.60
1651,1651,88.42
1651,1835,88.92
1651,2019,89.23
1651,2202,89.48
1651,2386,89.67
1651,2569,90.01
1651,2753,90.01
1651,2936,90.29
1651,3120,90.17
1651,3303,90.54
1651,3487,90.91
1651,3671,91.13
1835,1835,90.95
1835,2019,91.70
1835,2202,91.98
1835,2386,91.63
1835,2569,92.10
1835,2753,92.23
1835,2936,91.95
1835,3120,91.95
1835,3303,92.38
1835,3487,92.63
1835,3671,92.57
2019,2019,89.79
2019,2202,89.98
2019,2386,89.76
2019,2569,89.82
2019,2753,89.98
2019,2936,90.10
2019,3120,90.35
2019,3303,90.85
2019,3487,90.76
2019,3671,91.04
2202,2202,89.88
2202,2386,89.88
2202,2569,90.17
2202,2753,90.10
2202,2936,90.42
2202,3120,90.10
2202,3303,90.79
2202,3487,90.63
2202,3671,91.07
2386,2386,89.32
2386,2569,89.45
2386,2753,89.29
2386,2936,89.29
2386,3120,89.51
2386,3303,89.82
2386,3487,89.85
2386,3671,90.04
2569,2569,89.07
2569,2753,88.98
2569,2936,88.82
2569,3120,88.89
2569,3303,89.51
2569,3487,89.54
2569,3671,89.57
2753,2753,91.32
2753,2936,91.16
2753,3120,91.23
2753,3303,91.98
2753,3487,91.98
2753,3671,92.23
2936,2936,90.51
2936,3120,90.85
2936,3303,91.45
2936,3487,91.41
2936,3671,91.57
3120,3120,91.10
3120,3303,91.70
3120,3487,91.66
3120,3671,92.01
3303,3303,91.66
3303,3487,92.04
3303,3671,91.91
3487,3487,90.98
3487,3671,91.16
3671,3671,92.38
