Number of CNN Labels,Number of Labels,Accuracy
183,183,70.28
183,367,81.55
183,550,86.79
183,734,89.45
183,917,91.16
183,1101,91.79
183,1284,92.51
183,1468,93.13
183,1651,93.29
183,1835,93.63
183,2019,93.66
183,2202,93.94
183,2386,94.16
183,2569,94.35
183,2753,94.54
183,2936,94.63
183,3120,94.69
183,3303,95.07
183,3487,95.13
183,3671,95.25
367,367,87.57
367,550,91.91
367,734,94.01
367,917,94.82
367,1101,95.29
367,1284,95.82
367,1468,96.00
367,1651,96.03
367,1835,96.22
367,2019,96.41
367,2202,96.63
367,2386,96.60
367,2569,96.69
367,2753,96.85
367,2936,96.82
367,3120,96.82
367,3303,96.91
367,3487,97.00
367,3671,96.97
550,550,93.38
550,734,95.04
550,917,95.85
550,1101,95.85
550,1284,96.28
550,1468,96.47
550,1651,96.38
550,1835,96.41
550,2019,96.53
550,2202,96.57
550,2386,96.66
550,2569,96.72
550,2753,96.88
550,2936,96.94
550,3120,96.94
550,3303,97.07
550,3487,97.07
550,3671,97.07
734,734,95.94
734,917,96.25
734,1101,96.00
734,1284,96.22
734,1468,96.53
734,1651,96.57
734,1835,96.94
734,2019,96.88
734,2202,97.07
734,2386,97.10
734,2569,97.13
734,2753,97.19
734,2936,97.22
734,3120,97.19
734,3303,97.28
734,3487,97.28
734,3671,97.38
917,917,97.00
917,1101,96.85
917,1284,97.16
917,1468,97.41
917,1651,97.38
917,1835,97.47
917,2019,97.38
917,2202,97.47
917,2386,97.53
917,2569,97.50
917,2753,97.60
917,2936,97.56
917,3120,97.47
917,3303,97.56
917,3487,97.60
917,3671,97.66
1101,1101,97.16
1101,1284,97.75
1101,1468,98.22
1101,1651,98.19
1101,1835,98.25
1101,2019,98.31
1101,2202,98.35
1101,2386,98.35
1101,2569,98.38
1101,2753,98.41
1101,2936,98.47
1101,3120,98.41
1101,3303,98.50
1101,3487,98.53
1101,3671,98.60
1284,1284,97.78
1284,1468,98.35
1284,1651,98.28
1284,1835,98.31
1284,2019,98.31
1284,2202,98.31
1284,2386,98.28
1284,2569,98.25
1284,2753,98.38
1284,2936,98.35
1284,3120,98.31
1284,3303,98.44
1284,3487,98.47
1284,3671,98.47
1468,1468,98.63
1468,1651,98.50
1468,1835,98.63
1468,2019,98.60
1468,2202,98.63
1468,2386,98.69
1468,2569,98.72
1468,2753,98.75
1468,2936,98.69
1468,3120,98.69
1468,3303,98.72
1468,3487,98.75
1468,3671,98.78
1651,1651,98.81
1651,1835,98.91
1651,2019,98.91
1651,2202,98.88
1651,2386,98.94
1651,2569,98.91
1651,2753,98.97
1651,2936,99.00
1651,3120,98.97
1651,3303,99.03
1651,3487,99.03
1651,3671,99.03
1835,1835,98.88
1835,2019,98.91
1835,2202,98.94
1835,2386,99.00
1835,2569,99.06
1835,2753,99.06
1835,2936,99.09
1835,3120,99.00
1835,3303,99.03
1835,3487,99.09
1835,3671,99.03
2019,2019,98.81
2019,2202,98.75
2019,2386,98.78
2019,2569,98.88
2019,2753,98.88
2019,2936,98.91
2019,3120,98.94
2019,3303,98.94
2019,3487,99.00
2019,3671,99.00
2202,2202,98.81
2202,2386,98.81
2202,2569,98.81
2202,2753,98.81
2202,2936,98.88
2202,3120,98.84
2202,3303,98.88
2202,3487,98.88
2202,3671,98.88
2386,2386,99.16
2386,2569,99.13
2386,2753,99.16
2386,2936,99.19
2386,3120,99.16
2386,3303,99.19
2386,3487,99.22
2386,3671,99.16
2569,2569,99.06
2569,2753,99.06
2569,2936,99.13
2569,3120,99.09
2569,3303,99.09
2569,3487,99.09
2569,3671,99.09
2753,2753,99.25
2753,2936,99.25
2753,3120,99.22
2753,3303,99.22
2753,3487,99.22
2753,3671,99.22
2936,2936,99.25
2936,3120,99.25
2936,3303,99.28
2936,3487,99.25
2936,3671,99.25
3120,3120,99.22
3120,3303,99.22
3120,3487,99.22
3120,3671,99.22
3303,3303,99.22
3303,3487,99.25
3303,3671,99.25
3487,3487,99.09
3487,3671,99.09
3671,3671,99.13
