,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mc_choices,mc_acc,mcvopt_choices,mcvopt_acc,vopt_choices,vopt_acc
0,-1,0.2959725257571027,-1,0.2959725257571027,-1,0.2959725257571027,-1,0.2959725257571027,-1,0.2959725257571027
1,4096,0.2684982828598189,4860,0.22322822354043084,1639,0.3125195129566032,4745,0.307211988760537,4745,0.307211988760537
2,5987,0.2841086481423665,3922,0.24695597876990322,1766,0.2825476116141118,1639,0.3275054636278489,1639,0.3275054636278489
3,4183,0.20730565095223227,6653,0.2619419294411489,4003,0.29784576959100845,3870,0.3512332188573213,3870,0.3512332188573213
4,4599,0.23165782079300656,4136,0.25663440524508274,499,0.2731813924445832,1861,0.32375897596003744,1861,0.32375897596003744
5,3669,0.25913206369029035,2455,0.30284108648142366,6834,0.2916016234779894,5128,0.3484233531064627,5128,0.3484233531064627
6,4509,0.2828598189197627,5450,0.28660630658757413,3445,0.3034655010927256,3378,0.3718389010302841,3378,0.3718389010302841
7,4328,0.25569778332812987,4403,0.3122073056509522,5136,0.3281298782391508,6136,0.3974399000936622,6136,0.3974399000936622
8,5989,0.2975335622853575,6478,0.2725569778332813,4579,0.33749609740867936,4971,0.42179206993443646,4971,0.42179206993443646
9,6256,0.26818607555416796,5866,0.32032469559787696,6180,0.34811114580081176,5803,0.4489541055260693,5803,0.4489541055260693
10,2568,0.29035279425538557,6699,0.3109584764283484,4020,0.37215110833593507,4314,0.42522635029659694,4314,0.42522635029659694
11,1020,0.35591632844208554,5614,0.30440212300967845,3162,0.3968154854823603,6693,0.4261629722135498,6693,0.4261629722135498
12,1805,0.4027474242897284,5135,0.3250078051826413,5262,0.4264751795192008,4332,0.3849516078676241,4332,0.3849516078676241
13,2151,0.4505151420543241,5219,0.3250078051826413,4597,0.4364658133000312,6657,0.4027474242897284,6657,0.4027474242897284
14,4127,0.43615360599438024,4100,0.33843271932563224,4144,0.4505151420543241,3482,0.4299094598813612,5255,0.42522635029659694
15,1141,0.48548236028723074,3430,0.33905713393693415,855,0.4720574461442398,4531,0.45519825163908834,3482,0.4330315329378707
16,2402,0.4726818607555417,65,0.34748673118950985,4269,0.4914142990945988,5255,0.4567592881673431,4531,0.4567592881673431
17,4415,0.4745551045894474,2144,0.3833905713393693,3817,0.5045270059319388,3185,0.4601935685295036,1819,0.46050577583515456
18,4713,0.4926631283172026,725,0.4124258507649079,3677,0.5201373712144864,6326,0.4661255073368717,6326,0.46737433655947547
19,3678,0.5026537620980331,727,0.4274118014361536,6712,0.5401186387761474,1819,0.46893537308773026,3185,0.46893537308773026
20,5086,0.5067124570714955,2056,0.4374024352169841,4246,0.522947236965345,5979,0.49203871370590074,5979,0.49203871370590074
21,6511,0.5117077739619107,5521,0.44083671557914456,1895,0.5101467374336559,5736,0.4895410552606931,5736,0.4895410552606931
22,3977,0.5216984077427412,4380,0.451139556665626,1821,0.490165469871995,4512,0.4985950671245707,2015,0.5054636278488917
23,901,0.4751795192007493,2250,0.4455198251639088,6570,0.5085857009054012,2015,0.5107711520449578,4512,0.5107711520449578
24,4775,0.47798938495160787,3353,0.44864189822041833,1783,0.4751795192007493,1661,0.5663440524508273,1661,0.5663440524508273
25,2659,0.4570714954729941,6151,0.46893537308773026,4264,0.49890727443022165,3199,0.5729004058694973,3199,0.5729004058694973
26,6627,0.4555104589447393,3125,0.4720574461442398,2159,0.46706212925382457,6537,0.5526069310021855,6472,0.5507336871682798
27,531,0.4742428972837964,5566,0.4776771776459569,883,0.49235092101155165,1581,0.5585388698095536,1581,0.5572900405869498
28,2462,0.4589447393068998,6859,0.48860443334374026,1986,0.48142366531376835,1267,0.5813300031220731,1267,0.5813300031220731
29,2735,0.45145176397127695,54,0.49953168904152356,3060,0.4973462379019669,3775,0.594754917265064,5888,0.581642210427724
30,2409,0.43677802060568216,4960,0.48079925070246643,686,0.46831095847642834,4315,0.5941305026537621,4315,0.5803933812051202
31,5686,0.4536372151108336,139,0.48860443334374026,3358,0.4870433968154855,3892,0.594754917265064,3775,0.5935060880424602
32,1902,0.47393068997814547,6833,0.4882922260380893,1676,0.47080861692163595,0,0.6038089291289416,3892,0.5941305026537621
33,3064,0.48392132375897595,2420,0.5010927255697784,4384,0.47642834842335313,5888,0.6044333437402435,4216,0.5960037464876679
34,6808,0.4829847018420231,2787,0.5120199812675617,5763,0.49547299406806117,6243,0.6038089291289416,0,0.6053699656571964
35,3841,0.4851701529815798,5193,0.5235716515766469,4604,0.5142054324071184,4216,0.5769591008429598,4153,0.5672806743677802
36,6252,0.5142054324071184,2231,0.5301280049953169,3110,0.5313768342179207,1752,0.5988136122385264,1752,0.5953793318763659
37,6166,0.5323134561348736,6726,0.5320012488292226,3302,0.5416796753044021,2686,0.6250390259132064,2686,0.6184826724945364
38,1228,0.5201373712144864,2647,0.5569778332812988,1305,0.5641586013112707,1697,0.6134873556041212,1697,0.6053699656571964
39,3609,0.5382453949422417,2784,0.5828910396503278,5218,0.5707149547299407,118,0.6290977208866687,118,0.621292538245395
40,5368,0.5469871995004683,174,0.5900718076802998,6291,0.5766468935373088,5688,0.6428348423353106,3474,0.6219169528566968
41,6467,0.5510458944739307,3503,0.5919450515142054,2504,0.5978769903215735,5307,0.6434592569466125,5688,0.6353418669996878
42,5822,0.5547923821417421,4314,0.6000624414611302,6686,0.5997502341554792,5143,0.6453325007805183,6724,0.6356540743053387
43,5278,0.5707149547299407,6423,0.6178582578832345,6546,0.6141117702154231,6724,0.6453325007805183,5143,0.6378395254448954
44,2007,0.6022478926006869,4933,0.6128629409928192,1162,0.6241024039962535,6593,0.6381517327505464,6593,0.6315953793318764
45,3770,0.6109896971589135,4959,0.6094286606306587,4347,0.6350296596940368,5469,0.6606306587574149,3470,0.6325320012488292
46,5579,0.6128629409928192,972,0.6369029035279425,2774,0.6465813300031221,3470,0.660006244146113,5051,0.6350296596940368
47,911,0.6050577583515454,4108,0.6353418669996878,4620,0.6578207930065564,5051,0.6631283172026226,5469,0.6540743053387449
48,5437,0.6181704651888854,2582,0.6431470496409616,1262,0.6827973774586326,6210,0.6553231345613487,4000,0.6556353418669997
49,1505,0.627848891664065,3892,0.6621916952856697,4342,0.6840462066812364,4903,0.6674992194817359,6210,0.653449890727443
50,5275,0.6487667811426787,1431,0.6693724633156416,1446,0.6902903527942554,4000,0.6684358413986887,4903,0.6656259756478301
51,723,0.6559475491726506,3146,0.6646893537308773,4636,0.6915391820168592,261,0.6640649391195754,261,0.6612550733687168
52,2168,0.6518888541991883,5221,0.6603184514517639,4061,0.6965344989072745,4475,0.6578207930065564,4475,0.6562597564783016
53,5948,0.6540743053387449,2195,0.6687480487043397,2866,0.6962222916016235,6765,0.6603184514517639,6867,0.6575085857009054
