,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mc_choices,mc_acc,mcvopt_choices,mcvopt_acc,vopt_choices,vopt_acc
0,-1,0.11676553231345614,-1,0.11614111770215423,-1,0.12894161723384326,-1,0.11083359350608804,-1,0.10365282547611614
1,1584,0.11676553231345614,0,0.08679363097096472,1639,0.10896034967218234,6697,0.0908523259444271,6697,0.14517639712769279
2,3224,0.11645332500780518,1,0.12894161723384326,1766,0.11020917889478614,1639,0.08117389946924758,1639,0.12019981267561661
3,1477,0.11270683733999376,2,0.10927255697783328,4003,0.09990633780830471,3870,0.14142990945988135,3870,0.10677489853262566
4,3570,0.13300031220730565,3,0.11364345925694662,499,0.10365282547611614,1658,0.10708710583827662,1658,0.12956603184514517
5,5697,0.13081486106774898,5,0.14517639712769279,4818,0.12332188573212613,5136,0.1280049953168904,5136,0.14611301904464563
6,2227,0.11645332500780518,4,0.13300031220730565,3445,0.12425850764907899,3378,0.1189509834530128,3378,0.08148610677489854
7,6028,0.12831720262254137,6,0.0830471433031533,5136,0.14861067748985327,6070,0.13674679987511706,6070,0.08741804558226662
8,6250,0.12457071495472995,7,0.1339369341242585,234,0.1339369341242585,3198,0.11801436153605994,3198,0.08960349672182329
9,206,0.13175148298470185,8,0.12425850764907899,3162,0.14423977521073994,5821,0.11988760536996566,5821,0.09803309397439901
10,6836,0.1105213862004371,9,0.1614111770215423,4144,0.1105213862004371,4314,0.12176084920387137,4314,0.1326881049016547
11,1523,0.13206369029035278,10,0.12019981267561661,3817,0.10864814236653138,5343,0.11489228847955042,5343,0.14018108023727754
12,3309,0.14392756790508898,11,0.14267873868248518,3842,0.16016234779893848,6042,0.13112706837339994,6042,0.15860131127068372
13,947,0.12394630034342803,12,0.11707773961910709,2268,0.16671870121760848,6657,0.11208242272869186,6657,0.12644395878863565
14,2587,0.08804246019356853,13,0.10271620355916329,5262,0.10739931314392757,5169,0.11020917889478614,5169,0.12519512956603185
15,783,0.07368092413362473,14,0.20355916328442086,6240,0.13112706837339994,1819,0.13893225101467374,1819,0.1404932875429285
16,86,0.10334061817046519,15,0.1738994692475804,6180,0.09272556977833281,4531,0.15704027474242896,4531,0.1255073368716828
17,1923,0.12207305650952233,16,0.14798626287855135,1986,0.12332188573212613,4648,0.11801436153605994,4648,0.10583827661567281
18,6559,0.14205432407118326,17,0.16515766468935372,1783,0.12769278801123946,6440,0.1333125195129566,6440,0.12987823915079613
19,5264,0.14392756790508898,18,0.15110833593506087,937,0.15641586013112707,3185,0.1189509834530128,3185,0.14330315329378707
20,4022,0.10927255697783328,20,0.1105213862004371,6546,0.09896971589135185,5979,0.1255073368716828,5979,0.1582891039650328
21,3544,0.1458008117389947,19,0.11582891039650328,4264,0.12394630034342803,5736,0.1582891039650328,5736,0.1267561660942866
